scenario,rep,phase,consensus,batch,tps,orderer_count,round_label,container,cpu_avg,cpu_max,mem_avg_mb,mem_max_mb,traffic_in_mb,traffic_out_mb,disc_read_b,disc_write_mb,SourceFile,SourceFolder,role
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/orderer5.example.com,0.23,0.58,133.0,180.0,51.5,5.24,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/couchdb1,1.82,7.44,72.3,79.1,12.7,4.55,0.0,20.8,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,couchdb
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/orderer7.example.com,0.49,1.18,173.0,240.0,49.2,465.0,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/orderer6.example.com,0.21,0.54,134.0,186.0,51.2,4.96,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/couchdb0,4.35,10.5,72.2,80.3,14.7,6.61,0.0,20.8,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,couchdb
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/ca_org2,0.0,0.0,10.7,10.8,0.000908,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/ca_orderer,0.0,0.0,8.55,8.55,0.000841,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,/ca_org1,0.0,0.0,10.8,10.8,0.000841,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,ORDERERS_AGG,0.233,0.617,139.2,193.1,511.7,557.85,,972.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderers_agg
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/dev-peer0.org1.example.com-forensicContract_1.0-9176218e88396841943270b3841b38bec7d2ec350c25128904c5162f8c96fcce,0.0,0.0,74.3,74.3,0.00487,0.00451,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,chaincode
