consensus,batch,tps,orderer_count,round_label,phase,rep,role,role_count,cpu_avg_mean,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps
Raft,100,100,7,submitEvidence,SUBMIT,4,couchdb,2,4.725,27.5,11.16,41.6,60,3.6666666666666665,1.488
Raft,100,100,7,submitEvidence,SUBMIT,4,orderer,7,0.33999999999999997,370.0,416.28,680.4,60,49.333333333333336,55.504
Raft,100,100,7,submitEvidence,SUBMIT,4,peer,2,3.46,205.0,157.9,98.6,60,27.333333333333332,21.053333333333335
Raft,100,100,7,submitEvidence,SUBMIT,5,ca,3,0.0,0.0016480000000000002,0.0,0.0,60,0.00021973333333333335,0.0
Raft,100,100,7,submitEvidence,SUBMIT,5,chaincode,2,1.04,31.30436,23.20376,0.0,60,4.173914666666667,3.0938346666666665
Raft,100,100,7,submitEvidence,SUBMIT,5,couchdb,2,4.425,27.5,11.17,41.6,60,3.6666666666666665,1.4893333333333334
Raft,100,100,7,submitEvidence,SUBMIT,5,orderer,7,0.29857142857142854,370.1,415.78,680.4,60,49.34666666666667,55.43733333333333
Raft,100,100,7,submitEvidence,SUBMIT,5,peer,2,3.215,205.0,157.9,98.6,60,27.333333333333332,21.053333333333335
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,1,ca,3,0.0,6.68e-05,0.0,0.0,60,8.906666666666666e-06,0.0
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,1,chaincode,2,1.005,18.904429999999998,20.50443,0.0,60,2.520590666666666,2.733924
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,1,couchdb,2,2.265,15.42,18.82,33.4,60,2.056,2.509333333333333
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,1,orderer,10,0.178,404.7,441.04,754.0,60,53.96,58.80533333333334
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,1,peer,2,2.29,172.5,114.41,82.4,60,23.0,15.254666666666667
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,2,ca,3,0.0,0.001147,0.0,0.0,60,0.00015293333333333333,0.0
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,2,chaincode,2,1.135,18.80487,20.50451,0.0,60,2.5073160000000003,2.733934666666667
