scenario,rep,scope,phase,mode,consensus,batch,tps,k_fault,fault_family,fault_nodes,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_sec,total_tx,fail_rate
Raft_b100_tps100_k3_unsplit_highimpact-nested,2,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.78,0.59,1.67,97.8,Raft_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_highimpact-nested,1.67,6005,0.0
Raft_b100_tps100_k3_unsplit_highimpact-nested,3,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.1,3.01,0.7,1.85,97.6,Raft_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_highimpact-nested,1.85,6005,0.0
Raft_b100_tps100_k3_unsplit_highimpact-nested,3,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.82,0.6,1.69,97.8,Raft_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_highimpact-nested,1.69,6005,0.0
Raft_b100_tps100_k3_unsplit_highimpact-nested,4,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.1,2.66,0.49,1.59,98.0,Raft_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_highimpact-nested,1.59,6005,0.0
Raft_b100_tps100_k3_unsplit_highimpact-nested,4,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.87,0.57,1.69,97.8,Raft_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_highimpact-nested,1.69,6005,0.0
Raft_b100_tps100_k3_unsplit_highimpact-nested,5,SUBMIT,UNSPLIT,unsplit,Raft,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.1,3.56,0.53,1.83,98.0,Raft_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_highimpact-nested,1.83,6005,0.0
Raft_b100_tps100_k3_unsplit_highimpact-nested,5,RETRIEVE,UNSPLIT,unsplit,Raft,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.8,0.55,1.68,97.7,Raft_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,Raft_b100_tps100_k3_unsplit_highimpact-nested,1.68,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,submitEvidence,submitEvidence,6005,0,100.1,5.5,0.56,3.38,97.0,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3.38,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,1,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,4.76,0.41,2.94,96.7,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,2.94,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,2,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,submitEvidence,submitEvidence,6002,0,100.0,8.54,0.55,4.58,96.4,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,4.58,6002,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,2,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,5.07,0.37,3.24,97.0,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3.24,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,submitEvidence,submitEvidence,6005,0,100.1,5.33,0.42,3.1,96.5,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3.1,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,5.2,0.42,3.02,95.9,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3.02,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,4,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,submitEvidence,submitEvidence,6005,0,100.1,5.33,0.52,3.5,96.3,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3.5,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,4,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,4.71,0.38,2.82,97.5,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,2.82,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,5,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,submitEvidence,submitEvidence,6005,0,100.1,7.45,0.71,3.86,96.2,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3.86,6005,0.0
