scenario,consensus,batch,tps,round_label,phase,rep,role,role_count,cpu_avg_mean,cpu_max_peak,mem_avg_mb_mean,mem_max_mb_peak,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,disk_read_b_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps,disk_write_mb_per_s,succ,fail,throughput_tps,orderer_cpu_avg_per_tps,orderer_cpu_cluster_per_tps,orderer_mb_total_sum,orderer_mb_total_per_tx,orderer_mb_in_per_tx,orderer_mb_out_per_tx,orderer_bw_total_mbps,orderer_in_out_ratio
Raft_b10_tps100,Raft,10,100,retrieveEvidenceAndLog,RETRIEVE,1,orderer,4,0.7175,1.33,176.5,190.0,181.2,219.1,322.0,0.0,65.41394335511983,22.160412989175686,26.795510407993337,4.922497918401332,6005,0,91.8,0.007815904139433552,0.03126361655773421,400.29999999999995,0.06666111573688592,0.030174854288093255,0.03648626144879267,48.95592339716902,0.8270196257416705
Raft_b10_tps100,Raft,10,100,retrieveEvidenceAndLog,RETRIEVE,2,orderer,4,0.6799999999999999,1.5,178.75,194.0,181.3,219.1,322.0,0.0,76.69220945083015,18.91196003330558,22.854994171523728,4.198601165695253,6005,0,78.3,0.008684546615581098,0.03473818646232439,400.4,0.06667776852622814,0.03019150707743547,0.03648626144879267,41.766954204829304,0.8274760383386582
Raft_b10_tps100,Raft,10,100,retrieveEvidenceAndLog,RETRIEVE,3,orderer,4,0.6475,1.46,176.25,193.0,181.0,218.9,322.0,0.0,79.96005326231692,18.10904246461282,21.90093588676103,4.027010824313072,6005,0,75.1,0.008621837549933422,0.03448735019973369,399.9,0.06659450457951707,0.030141548709408827,0.036452955870108245,40.009978351373846,0.8268615806304248
Raft_b10_tps100,Raft,10,100,retrieveEvidenceAndLog,RETRIEVE,4,orderer,4,0.6125,1.37,177.25,194.0,181.1,218.8,322.0,0.0,77.88586251621271,18.60157868442964,22.473911740216487,4.1342547876769355,6005,0,77.1,0.007944228274967576,0.0317769130998703,399.9,0.06659450457951707,0.03015820149875104,0.03643630308076603,41.07549042464613,0.8276965265082266
Raft_b10_tps100,Raft,10,100,retrieveEvidenceAndLog,RETRIEVE,5,orderer,4,0.7175,1.57,177.0,189.0,181.2,219.0,322.0,0.0,74.50372208436725,19.45674604496253,23.515603663613653,4.321931723563696,6005,0,80.6,0.008901985111662533,0.03560794044665013,400.2,0.06664446294754371,0.030174854288093255,0.03646960865945046,42.97234970857618,0.8273972602739725
Raft_b10_tps100,Raft,10,100,submitEvidence,SUBMIT,1,orderer,4,0.72,1.35,131.5,182.0,227.4,274.8,400.0,0.0,68.32764505119454,26.624655344655345,32.17438561438561,5.854145854145854,6006,0,87.9,0.00819112627986348,0.03276450511945392,502.20000000000005,0.08361638361638363,0.037862137862137865,0.045754245754245755,58.79904095904096,0.8275109170305677
Raft_b10_tps100,Raft,10,100,submitEvidence,SUBMIT,2,orderer,4,0.7175,1.35,129.5,179.0,228.4,275.7,400.0,0.0,67.09497206703911,27.233039134054955,32.872805995004164,5.961698584512906,6005,0,89.5,0.008016759776536313,0.03206703910614525,504.1,0.08394671107410491,0.03803497085761865,0.04591174021648626,60.10584512905912,0.828436706565107
Raft_b10_tps100,Raft,10,100,submitEvidence,SUBMIT,3,orderer,4,0.5449999999999999,1.29,139.0,178.0,227.7,275.1,400.0,0.0,86.52737752161383,21.05229641965029,25.43472439633639,4.622814321398835,6005,0,69.4,0.007853025936599423,0.03141210374639769,502.8,0.08373022481265611,0.03791840133222314,0.04581182348043298,46.48702081598668,0.8276990185387131
Raft_b10_tps100,Raft,10,100,submitEvidence,SUBMIT,4,orderer,4,0.6025,1.36,135.5,185.0,227.0,274.3,400.0,0.0,79.54966887417218,22.82850482850483,27.585281385281387,5.028305028305028,6006,0,75.5,0.007980132450331126,0.0319205298013245,501.3,0.08346653346653347,0.03779553779553779,0.045670995670995675,50.41378621378622,0.8275610645278891
Raft_b10_tps100,Raft,10,100,submitEvidence,SUBMIT,5,orderer,4,0.735,1.35,127.0,172.0,227.5,274.9,400.0,0.0,67.92986425339366,26.792339716902582,32.37456786011657,5.888426311407161,6005,0,88.4,0.00831447963800905,0.0332579185520362,502.4,0.08366361365528725,0.03788509575353872,0.04577851790174854,59.16690757701915,0.8275736631502364
Raft_b10_tps150,Raft,10,150,retrieveEvidenceAndLog,RETRIEVE,1,orderer,4,0.755,2.1,184.25,193.0,270.7,326.6,484.0,0.0,104.83119906868451,20.65797223764575,24.923877845641314,4.61694614103276,9005,0,85.9,0.00878928987194412,0.03515715948777648,597.3,0.06632981676846196,0.03006107717934481,0.03626873958911716,45.581850083287065,0.8288426209430494
Raft_b10_tps150,Raft,10,150,retrieveEvidenceAndLog,RETRIEVE,2,orderer,4,0.6699999999999999,2.09,181.75,197.0,270.1,326.5,484.0,0.0,96.54666666666667,22.380886617870463,27.05427427150946,5.0131197348432535,7241,1764,75.0,0.008933333333333333,0.03573333333333333,596.6,0.0823919348156332,0.03730147769645077,0.045090457119182435,49.43516088937992,0.827258805513017
Raft_b10_tps150,Raft,10,150,retrieveEvidenceAndLog,RETRIEVE,3,orderer,4,0.695,2.14,185.75,191.0,270.3,326.3,484.0,0.0,95.45333333333333,22.65400195558039,27.347394887554128,5.070540578293057,7159,1846,75.0,0.009266666666666666,0.037066666666666664,596.6,0.08333566140522419,0.037756669925967316,0.04557899147925688,50.001396843134515,0.8283787925222189
Raft_b10_tps150,Raft,10,150,retrieveEvidenceAndLog,RETRIEVE,4,orderer,4,0.6799999999999999,2.24,184.25,199.0,270.2,326.3,484.0,0.0,99.06542056074765,21.81992452830189,26.3502641509434,4.885660377358491,7420,1585,74.9,0.009078771695594123,0.03631508678237649,596.5,0.08039083557951482,0.03641509433962264,0.04397574123989219,48.170188679245285,0.8280723260802942
Raft_b10_tps150,Raft,10,150,retrieveEvidenceAndLog,RETRIEVE,5,orderer,4,0.7,2.29,183.75,195.0,270.7,326.8,484.0,0.0,95.07343124165553,22.77818283948884,27.49874455834855,5.090801853672238,7121,1880,74.9,0.009345794392523364,0.037383177570093455,597.5,0.08390675466928803,0.038014323830922625,0.0458924308383654,50.27692739783739,0.8283353733170135
Raft_b10_tps150,Raft,10,150,submitEvidence,SUBMIT,1,orderer,4,0.6525,2.23,157.5,187.0,340.5,411.1,600.0,0.0,107.07491082045185,25.44013325930039,30.71494503053859,5.603553581343697,9005,0,84.1,0.007758620689655172,0.03103448275862069,751.6,0.0834647418101055,0.03781232648528595,0.04565241532481955,56.15507828983898,0.8282656288007784
Raft_b10_tps150,Raft,10,150,submitEvidence,SUBMIT,2,orderer,4,0.6575,2.08,160.75,189.0,340.8,407.8,600.0,0.0,88.3845126835781,30.8470332326284,36.91144410876134,6.788519637462237,6620,2385,74.9,0.008778371161548731,0.035113484646194924,748.6,0.11308157099697885,0.051480362537764356,0.061601208459214504,67.75847734138974,0.8357037763609612
Raft_b10_tps150,Raft,10,150,submitEvidence,SUBMIT,3,orderer,4,0.685,2.19,160.75,185.0,340.5,409.90000000000003,600.0,0.0,92.5233644859813,29.44121212121212,35.44185858585859,6.484848484848485,6930,2075,74.9,0.009145527369826436,0.03658210947930574,750.4000000000001,0.1082828282828283,0.049134199134199134,0.05914862914862915,64.88307070707071,0.8306904122956817
Raft_b10_tps150,Raft,10,150,submitEvidence,SUBMIT,4,orderer,4,0.6675,2.35,162.25,192.0,340.0,409.6,600.0,0.0,95.55407209612817,28.46555819477435,34.292625401704626,6.2791672488472825,7157,1850,74.9,0.00891188251001335,0.0356475300400534,749.6,0.10473662148945088,0.047505938242280284,0.05723068324717061,62.75818359647897,0.830078125
