scenario,consensus,batch,tps,round_label,phase,rep,role,role_count,cpu_avg_mean,cpu_max_peak,mem_avg_mb_mean,mem_max_mb_peak,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,disk_read_b_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps,disk_write_mb_per_s
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,3,peer,2,4.505,9.91,258.5,272.0,257.8,169.1,119.2,0.0,62.18922651933701,33.163300388672965,21.752963908939478,1.916730705163798
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,4,ca,3,0.0,0.0,9.153333333333334,10.4,6.68e-05,0.0,0.0,0.0,62.14630779848171,8.5990627429206e-06,0.0,0.0
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,4,chaincode,2,1.645,4.72,76.45,77.7,27.50462,30.604680000000002,0.0,0.0,62.14630779848171,3.540628040421988,3.939694065074959,0.0
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,4,couchdb,2,4.67,9.65,57.9,60.4,23.4,29.3,62.2,0.0,62.14630779848171,3.012246529705719,3.771744586340922,1.0008639644641866
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,4,orderer,4,0.7675,1.52,178.25,191.0,267.1,322.4,448.0,0.0,62.14630779848171,34.383378123264855,41.502063298167684,7.208795113825653
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,4,peer,2,4.585,10.75,257.5,271.0,258.9,170.1,119.2,0.0,62.14630779848171,33.3278045530261,21.89671515824542,1.9180544142143254
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,5,ca,3,0.0,0.0,9.016666666666667,10.0,0.00072,0.0,0.0,0.0,62.14630779848171,9.268450860632983e-05,0.0,0.0
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,5,chaincode,2,1.46,5.03,75.1,77.5,27.60501,30.50471,0.0,0.0,62.14630779848171,3.5535510929483625,3.926825078511938,0.0
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,5,couchdb,2,4.545,8.44,56.35,59.9,23.4,29.3,62.2,0.0,62.14630779848171,3.012246529705719,3.771744586340922,1.0008639644641866
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,5,orderer,4,0.815,1.48,178.25,188.0,266.9,322.2,448.0,0.0,62.14630779848171,34.35763242642976,41.476317601332596,7.208795113825653
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,5,peer,2,4.295,9.75,253.5,267.0,258.9,170.1,119.2,0.0,62.14630779848171,33.3278045530261,21.89671515824542,1.9180544142143254
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,1,ca,3,0.0,0.0,10.766666666666666,11.2,0.002163,0.0,0.0,0.0,62.14630779848171,0.0002784397112715158,0.0,0.0
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,1,chaincode,2,1.865,7.7,64.15,81.3,46.00574,34.50479,0.0,0.0,62.14630779848171,5.92224917357024,4.441749313492505,0.0
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,1,couchdb,2,5.62,10.8,65.85,71.1,41.2,17.04,75.8,0.0,62.14630779848171,5.303613548028873,2.193533370349806,1.2197023875624653
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,1,orderer,4,0.8425,1.52,144.0,182.0,336.6,406.4,572.0,0.0,62.14630779848171,43.330007773459194,52.315255968906165,9.204086618545253
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,1,peer,2,4.805000000000001,11.09,225.5,264.0,306.5,235.4,149.4,0.0,62.14630779848171,39.455280399777905,30.302685174902834,2.4040044419766797
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,2,ca,3,0.0,0.01,9.959999999999999,11.1,0.0,0.0,0.0,0.0,62.31833910034602,0.0,0.0,0.0
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,2,chaincode,2,1.73,6.46,63.15,78.9,46.204840000000004,34.50467,0.0,0.0,62.31833910034602,5.931459749028318,4.429472350916157,0.0
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,2,couchdb,2,5.17,11.76,64.85,71.3,41.1,16.94,76.0,0.0,62.31833910034602,5.276135480288729,2.1746407551360356,1.2195446973903386
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,2,orderer,4,0.955,1.63,146.0,190.0,337.3,406.4,572.0,0.0,62.31833910034602,43.30025541365908,52.170838423098274,9.178678511937813
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,2,peer,2,5.01,12.73,224.5,265.0,306.6,235.5,149.6,0.0,62.31833910034602,39.35920044419767,30.23187118267629,2.400577456968351
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,3,ca,3,0.0,0.0,10.633333333333333,11.0,0.0022299999999999998,0.0,0.0,0.0,62.66527487821852,0.0002846871737923375,0.0,0.0
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,3,chaincode,2,1.795,5.48,63.2,78.5,45.7057,34.40475,0.0,0.0,62.66527487821852,5.834899802332037,4.392193292615214,0.0
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,3,couchdb,2,6.085000000000001,11.71,65.9,73.6,41.2,16.94,76.0,0.0,62.66527487821852,5.259691282620766,2.1626012215435866,1.2127928928373124
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,3,orderer,4,0.8524999999999999,1.87,145.5,188.0,336.6,406.6,572.0,0.0,62.66527487821852,42.97116712937257,51.90753581343698,9.127862298722931
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,3,peer,2,4.845,10.24,226.0,270.0,305.6,234.5,149.4,0.0,62.66527487821852,39.01363242642976,29.936835091615766,2.3840955024986115
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,4,ca,3,0.0,0.01,10.24,10.8,0.0,0.0,0.0,0.0,62.225293711126476,0.0,0.0,0.0
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,4,chaincode,2,2.035,9.01,63.55,78.8,45.90486,34.50468,0.0,0.0,62.225293711126476,5.901762098622833,4.436097019991115,0.0
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,4,couchdb,2,5.895,10.46,66.75,71.8,41.2,16.94,75.6,0.0,62.225293711126476,5.296881386050644,2.1778924922256775,1.2149400266548198
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,4,orderer,4,0.8350000000000001,1.6,143.75,183.0,336.7,406.7,572.0,0.0,62.225293711126476,43.28786317192358,52.28741892492225,9.192403376277209
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,4,peer,2,4.67,11.51,225.0,265.0,306.6,234.5,149.4,0.0,62.225293711126476,39.41805419813416,30.148511772545532,2.4009529098178586
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,5,ca,3,0.0,0.01,9.773333333333333,10.8,0.002163,0.0,0.0,0.0,62.27524204702628,0.0002778632315380344,0.0,0.0
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,5,chaincode,2,1.92,5.69,63.25,79.9,46.0056,34.40471,0.0,0.0,62.27524204702628,5.909969803442531,4.419696671626874,0.0
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,5,couchdb,2,5.75,12.72,65.75,73.4,41.2,16.94,75.8,0.0,62.27524204702628,5.292632981676847,2.176145696835092,1.2171771238201
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,5,orderer,4,0.89,1.48,143.75,183.0,336.6,406.6,572.0,0.0,62.27524204702628,43.24029761243754,52.232635202665186,9.185030538589672
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,5,peer,2,4.83,10.52,223.0,265.0,306.5,234.5,149.4,0.0,62.27524204702628,39.37359244863964,30.12433092726263,2.3990272071071628
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,1,ca,3,0.0,0.0,9.13,10.6,0.0,0.0,0.0,0.0,62.591240875912405,0.0,0.0,0.0
