consensus,batch,tps,round_label,phase,orderer_cpu_avg_per_tps__n,orderer_cpu_avg_per_tps__mean,orderer_cpu_avg_per_tps__ci95_low,orderer_cpu_avg_per_tps__ci95_high,orderer_cpu_avg_per_tps__sd,orderer_cpu_cluster_per_tps__n,orderer_cpu_cluster_per_tps__mean,orderer_cpu_cluster_per_tps__ci95_low,orderer_cpu_cluster_per_tps__ci95_high,orderer_cpu_cluster_per_tps__sd,orderer_mb_total_per_tx__n,orderer_mb_total_per_tx__mean,orderer_mb_total_per_tx__ci95_low,orderer_mb_total_per_tx__ci95_high,orderer_mb_total_per_tx__sd,orderer_mb_in_per_tx__n,orderer_mb_in_per_tx__mean,orderer_mb_in_per_tx__ci95_low,orderer_mb_in_per_tx__ci95_high,orderer_mb_in_per_tx__sd,orderer_mb_out_per_tx__n,orderer_mb_out_per_tx__mean,orderer_mb_out_per_tx__ci95_low,orderer_mb_out_per_tx__ci95_high,orderer_mb_out_per_tx__sd,orderer_in_out_ratio__n,orderer_in_out_ratio__mean,orderer_in_out_ratio__ci95_low,orderer_in_out_ratio__ci95_high,orderer_in_out_ratio__sd,orderer_bw_total_mbps__n,orderer_bw_total_mbps__mean,orderer_bw_total_mbps__ci95_low,orderer_bw_total_mbps__ci95_high,orderer_bw_total_mbps__sd
Raft,300,150,submitEvidence,SUBMIT,5.0,0.005574375472961463,0.004047694787312258,0.007101056158610668,0.001229741279916286,5.0,0.02229750189184585,0.016190779149249032,0.02840422463444267,0.004918965119665144,5.0,0.08250421457619121,0.08240239339600638,0.08260603575637604,8.201695981359229e-05,5.0,0.03738784514407903,0.037345233734978216,0.03743045655317984,3.4323489685327006e-05,5.0,0.04511636943211218,0.045054786427131635,0.04517795243709273,4.960511001268636e-05,5.0,0.828698195347277,0.8282147071087174,0.8291816835858365,0.00038944977224098106,5.0,95.87619223239896,95.29408140650058,96.45830305829735,0.46889026554298774
Raft,300,200,submitEvidence,SUBMIT,5.0,0.005224790036085836,0.004824226992558869,0.005625353079612802,0.0003226535283143029,5.0,0.020899160144343343,0.019296907970235477,0.022501412318451208,0.0012906141132572116,5.0,0.08222330313032986,0.08215891854900273,0.08228768771165698,5.1861779737148225e-05,5.0,0.037242382620385504,0.037201274901447305,0.037283490339323704,3.3112267271533265e-05,5.0,0.04498092050994436,0.04492917719356555,0.04503266382632316,4.167924092373203e-05,5.0,0.82796014466617,0.826607416163017,0.8293128731693229,0.0010896227983254907,5.0,126.01897457927541,125.0499444719311,126.98800468661972,0.7805537436115924
SmartBFT,10,50,submitEvidence,SUBMIT,5.0,0.023253020036616875,0.022559747587434755,0.023946292485798996,0.0005584309521970434,5.0,0.0930120801464675,0.09023899034973902,0.09578516994319598,0.0022337238087881735,5.0,0.09852132673089761,0.09844435098018733,0.09859830248160789,6.200396657322411e-05,5.0,0.05680441667967449,0.05676650816336646,0.056842325195982514,3.053530957885471e-05,5.0,0.041716910051223126,0.04167014384444026,0.04176367625800599,3.7670179184545873e-05,5.0,1.3616645945534476,1.360500898365418,1.362828290741477,0.0009373572700257265,5.0,38.11591021484485,38.089003424379484,38.14281700531022,0.021673419501769715
SmartBFT,10,100,submitEvidence,SUBMIT,5.0,0.02567625530044415,0.02337846646894875,0.027974044131939553,0.0018508688851453623,5.0,0.1027050212017766,0.093513865875795,0.11189617652775821,0.007403475540581449,5.0,0.09810724396336387,0.09804540183390277,0.09816908609282497,4.981383477966637e-05,5.0,0.05660283097418817,0.05657359372927684,0.056632068219099496,2.3550600539102113e-05,5.0,0.04150441298917569,0.04144705282294485,0.04156177315540653,4.620361343402416e-05,5.0,1.3637800174333083,1.3617063587567961,1.3658536761098206,0.0016703320471229991,5.0,53.982377352206505,48.29955282995613,59.66520187445688,4.5775151066118935
SmartBFT,10,150,submitEvidence,SUBMIT,5.0,0.030871750485756255,0.02488459998555468,0.03685890098595783,0.004822649679384938,5.0,0.12348700194302502,0.09953839994221872,0.14743560394383132,0.019290598717539752,5.0,0.22407169421807974,0.11397477948294228,0.3341686089532172,0.08868306392678876,5.0,0.12714729703442199,0.06627390607843195,0.18802068799041202,0.04903351592165514,5.0,0.09692439718365778,0.047680573699835506,0.14616822066748006,0.0396658994170847,5.0,1.3220552316503424,1.2769911946843657,1.3671192686163192,0.03629908141083846,5.0,134.0484653058046,68.32650894599853,199.77042166561068,52.939035315130056
SmartBFT,10,200,submitEvidence,SUBMIT,5.0,0.03708437221552706,0.03293260498967268,0.041236139441381436,0.003344248466774538,5.0,0.14833748886210824,0.13173041995869073,0.16494455776552575,0.013376993867098152,5.0,1.9241812738225128,1.2457918646124548,2.602570683032571,0.5464426636201771,5.0,1.0670027167472458,0.7158983795885805,1.418107053905911,0.28281454073551193,5.0,0.857178557075267,0.5230892110034817,1.1912679031470523,0.26910896555294106,5.0,1.2684528129892343,1.1259388745299004,1.4109667514485682,0.11479497627388051,5.0,1514.5928873403936,990.4131394419343,2038.7726352388531,422.22678268359425
SmartBFT,100,50,submitEvidence,SUBMIT,5.0,0.011377143839024101,0.009981740767754318,0.012772546910293885,0.0011239971625977016,5.0,0.045508575356096405,0.03992696307101727,0.05109018764117554,0.0044959886503908066,5.0,0.09628286189683861,0.09484922161098618,0.09771650218269105,0.0011547972386341079,5.0,0.05582029950083195,0.05510676231704358,0.056533836684620316,0.0005747541957581235,5.0,0.04046256239600665,0.03974223431322915,0.04118289047878415,0.0005802242648388282,5.0,1.379618041773456,1.3726874122175319,1.3865486713293802,0.005582622051122407,5.0,37.911809916805325,37.41431733727308,38.40930249633757,0.40073026878090995
SmartBFT,100,100,submitEvidence,SUBMIT,5.0,0.01885471630451965,0.017731860927586385,0.019977571681452914,0.000904459997018706,5.0,0.0754188652180786,0.07092744371034554,0.07991028672581166,0.003617839988074824,5.0,0.09518401332223148,0.09512312188994912,0.09524490475451383,4.904804820990167e-05,5.0,0.05524729392173189,0.05521594046955344,0.05527864737391033,2.5255205475608538e-05,5.0,0.03993671940049958,0.03990519600966625,0.03996824279133291,2.539209106074224e-05,5.0,1.3833710272263162,1.382816404181028,1.3839256502716044,0.0004467488584842932,5.0,73.74091137385513,73.53947096711013,73.94235178060012,0.16226024600036293
SmartBFT,100,150,submitEvidence,SUBMIT,5.0,0.021000965560209764,0.01833073645413675,0.02367119466628278,0.0021508695232989048,5.0,0.08400386224083906,0.073322945816547,0.09468477866513111,0.008603478093195619,5.0,0.09473473023956974,0.09448001990324154,0.09498944057589795,0.0002051691738478753,5.0,0.05503925231463389,0.054886785570911735,0.05519171905835605,0.00012281196083241237,5.0,0.03969547792493585,0.039584407840835875,0.039806548009035825,8.946695184227728e-05,5.0,1.3865378994919932,1.3845299768352863,1.3885458221487001,0.00161738168370265,5.0,109.18006660299575,108.60539770677818,109.75473549921333,0.4628957912454117
SmartBFT,100,200,submitEvidence,SUBMIT,5.0,0.020747024634886042,0.018251220596226445,0.02324282867354564,0.0020103701329111565,5.0,0.08298809853954417,0.07300488238490578,0.09297131469418256,0.008041480531644626,5.0,0.09426607220683762,0.09399321259984575,0.0945389318138295,0.00021978841122035958,5.0,0.05481033074466972,0.05466726631641397,0.05495339517292547,0.00011523839580043133,5.0,0.03945574146216788,0.03932170442394597,0.0395897785003898,0.00010796683320134837,5.0,1.3891621405933496,1.3873495282491581,1.3909747529375411,0.0014600592285545389,5.0,113.28377947455411,109.65886882996726,116.90869011914096,2.9198654948338554
