consensus,batch,tps,k_fault,fault_family,round_label,phase,rep,role,role_count,cpu_avg_mean,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,4,ca,3,0.001954,0.0039,0.0,0.0,60,0.00052,0.0
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,4,chaincode,2,8.180344999999999,40.885999999999996,30.31416,0.0,60,5.451466666666666,4.041888
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,4,couchdb,2,26.568448500000002,36.04,14.682,53.93000000000001,60,4.8053333333333335,1.9576
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,4,orderer,10,2.0071035000000004,627.744,691.552,1175.891,60,83.6992,92.20693333333334
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,4,peer,2,22.667413500000002,268.952,208.069,129.588,60,35.86026666666667,27.74253333333333
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,5,ca,3,0.0021839999999999997,0.006,0.0,0.0,60,0.0008,0.0
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,5,chaincode,2,8.5365515,40.995999999999995,30.356550000000002,0.0,60,5.466133333333333,4.047540000000001
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,5,couchdb,2,23.948621,36.043,14.683,53.93000000000001,60,4.805733333333333,1.9577333333333333
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,5,orderer,10,2.0497240999999997,627.569,691.2470000000001,1175.903,60,83.67586666666666,92.16626666666667
Raft,100,100,1,highimpact-nested,submitEvidence,UNSPLIT,5,peer,2,21.2174135,269.145,208.19299999999998,129.588,60,35.885999999999996,27.759066666666666
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,ca,3,0.0018390000000000001,0.0034000000000000002,0.0,0.0,60,0.00045333333333333337,0.0
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,chaincode,2,7.511724,24.64,26.8464,0.0,60,3.2853333333333334,3.57952
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,couchdb,2,20.429655,20.6,25.36,44.0,60,2.746666666666667,3.381333333333333
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,orderer,10,1.6877929999999999,572.8,525.71,1058.0,60,76.37333333333332,70.09466666666667
