consensus,batch,tps,fault_profile,round_label,phase,rep,role,role_count,cpu_avg_mean,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,2,peer,2,19.262,270.187,208.229,130.788,60,36.02493333333334,27.76386666666667
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,3,ca,3,0.003778,0.0027,0.0,0.0,60,0.00036,0.0
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,3,chaincode,2,6.9828335,41.084,30.31109,0.0,60,5.477866666666667,4.041478666666666
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,3,couchdb,2,21.311667,36.044,14.863999999999999,61.730000000000004,60,4.805866666666666,1.9818666666666664
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,3,orderer,10,1.6588667000000001,548.157,610.265,996.63,60,73.08760000000001,81.36866666666667
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,3,peer,2,19.0886665,270.079,208.096,130.788,60,36.010533333333335,27.746133333333333
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,4,ca,3,0.0023333333333333335,0.0066,0.0,0.0,60,0.00088,0.0
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,4,chaincode,2,7.8143335,40.986,30.31341,0.0,60,5.464799999999999,4.041788
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,4,couchdb,2,20.584667,36.144000000000005,14.854,61.730000000000004,60,4.8192,1.9805333333333333
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,4,orderer,10,1.7154668000000002,541.23,606.4590000000001,983.057,60,72.164,80.86120000000001
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,4,peer,2,19.9073335,270.091,208.11100000000002,130.788,60,36.01213333333333,27.748133333333335
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,5,ca,3,0.001778,0.0065,0.0,0.0,60,0.0008666666666666666,0.0
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,5,chaincode,2,7.422167,40.787,30.213449999999998,0.0,60,5.438266666666666,4.02846
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,5,couchdb,2,20.036667,36.241,14.863999999999999,62.129999999999995,60,4.832133333333333,1.9818666666666664
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,5,orderer,10,1.7198334,539.186,603.164,978.261,60,71.89146666666667,80.42186666666666
Raft,100,100,limited-impact,submitEvidence,UNSPLIT,5,peer,2,18.4838335,269.06,207.076,130.788,60,35.87466666666667,27.610133333333334
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,1,ca,3,0.00031733333333333337,0.0023,0.0,0.0,60,0.0003066666666666667,0.0
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,1,chaincode,2,5.1095235,24.752,26.9518,0.0,60,3.3002666666666665,3.593573333333333
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,1,couchdb,2,18.472619,20.5,25.32,51.2,60,2.7333333333333334,3.376
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,1,orderer,10,9.3803572,1252.9,1173.1299999999999,1149.0,60,167.05333333333334,156.41733333333332
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,1,peer,2,19.4320235,251.7,497.8,120.6,60,33.559999999999995,66.37333333333333
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,2,ca,3,0.003968333333333333,0.0046,0.0,0.0,60,0.0006133333333333334,0.0
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,2,chaincode,2,5.2596425,24.752,26.8552,0.0,60,3.3002666666666665,3.5806933333333335
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,2,couchdb,2,15.873690499999999,20.5,25.34,51.2,60,2.7333333333333334,3.3786666666666667
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,2,orderer,10,9.7579525,1278.5,1237.6399999999999,1142.0,60,170.46666666666667,165.01866666666666
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,2,peer,2,19.0760715,251.6,498.4,118.6,60,33.54666666666667,66.45333333333333
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,3,ca,3,0.001515,0.003,0.0,0.0,60,0.0004,0.0
SmartBFT,100,100,high-impact,retrieveEvidenceAndLog,UNSPLIT,3,chaincode,2,5.0207955,24.787,26.8844,0.0,60,3.304933333333333,3.5845866666666666
