scenario,rep,phase,consensus,batch,tps,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_ms
Raft_b100_tps50,2,RETRIEVE,Raft,100,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.24,0.21,1.2,48.3,Raft_b100_tps50_summary_metrics.csv,Raft_b100_tps50,1200.0
Raft_b100_tps50,3,RETRIEVE,Raft,100,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.32,0.22,1.2,48.2,Raft_b100_tps50_summary_metrics.csv,Raft_b100_tps50,1200.0
Raft_b100_tps50,4,RETRIEVE,Raft,100,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.28,0.26,1.3,48.3,Raft_b100_tps50_summary_metrics.csv,Raft_b100_tps50,1300.0
Raft_b100_tps50,5,RETRIEVE,Raft,100,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.37,0.31,1.37,48.3,Raft_b100_tps50_summary_metrics.csv,Raft_b100_tps50,1370.0
Raft_b100_tps100,1,SUBMIT,Raft,100,100,submitEvidence,submitEvidence,6006,0,100.0,2.15,0.27,0.78,96.6,Raft_b100_tps100_summary_metrics.csv,Raft_b100_tps100,780.0
Raft_b100_tps100,2,SUBMIT,Raft,100,100,submitEvidence,submitEvidence,6005,0,100.1,2.13,0.26,0.79,96.7,Raft_b100_tps100_summary_metrics.csv,Raft_b100_tps100,790.0
Raft_b100_tps100,3,SUBMIT,Raft,100,100,submitEvidence,submitEvidence,6005,0,100.1,2.15,0.28,0.8,96.6,Raft_b100_tps100_summary_metrics.csv,Raft_b100_tps100,800.0
Raft_b100_tps100,4,SUBMIT,Raft,100,100,submitEvidence,submitEvidence,6005,0,100.1,2.21,0.39,0.98,96.5,Raft_b100_tps100_summary_metrics.csv,Raft_b100_tps100,980.0
Raft_b100_tps100,5,SUBMIT,Raft,100,100,submitEvidence,submitEvidence,6005,0,100.1,2.15,0.27,0.8,96.6,Raft_b100_tps100_summary_metrics.csv,Raft_b100_tps100,800.0
Raft_b100_tps100,1,RETRIEVE,Raft,100,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.15,0.23,0.73,96.6,Raft_b100_tps100_summary_metrics.csv,Raft_b100_tps100,730.0
Raft_b100_tps100,2,RETRIEVE,Raft,100,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.12,0.22,0.73,96.7,Raft_b100_tps100_summary_metrics.csv,Raft_b100_tps100,730.0
Raft_b100_tps100,3,RETRIEVE,Raft,100,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.14,0.22,0.72,96.6,Raft_b100_tps100_summary_metrics.csv,Raft_b100_tps100,720.0
Raft_b100_tps100,4,RETRIEVE,Raft,100,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.11,0.34,0.9,96.7,Raft_b100_tps100_summary_metrics.csv,Raft_b100_tps100,900.0
Raft_b100_tps100,5,RETRIEVE,Raft,100,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.13,0.22,0.73,96.7,Raft_b100_tps100_summary_metrics.csv,Raft_b100_tps100,730.0
Raft_b100_tps150,1,SUBMIT,Raft,100,150,submitEvidence,submitEvidence,9005,0,150.1,2.16,0.32,0.81,144.9,Raft_b100_tps150_summary_metrics.csv,Raft_b100_tps150,810.0
Raft_b100_tps150,2,SUBMIT,Raft,100,150,submitEvidence,submitEvidence,9005,0,150.1,2.55,0.28,0.72,144.5,Raft_b100_tps150_summary_metrics.csv,Raft_b100_tps150,720.0
Raft_b100_tps150,3,SUBMIT,Raft,100,150,submitEvidence,submitEvidence,9005,0,150.1,2.66,0.4,0.94,143.7,Raft_b100_tps150_summary_metrics.csv,Raft_b100_tps150,940.0
Raft_b100_tps150,4,SUBMIT,Raft,100,150,submitEvidence,submitEvidence,9004,0,149.9,2.22,0.36,0.83,144.7,Raft_b100_tps150_summary_metrics.csv,Raft_b100_tps150,830.0
Raft_b100_tps150,5,SUBMIT,Raft,100,150,submitEvidence,submitEvidence,9005,0,150.1,2.5,0.34,0.81,144.6,Raft_b100_tps150_summary_metrics.csv,Raft_b100_tps150,810.0
Raft_b100_tps150,1,RETRIEVE,Raft,100,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,2.16,0.24,0.6,144.9,Raft_b100_tps150_summary_metrics.csv,Raft_b100_tps150,600.0
Raft_b100_tps150,2,RETRIEVE,Raft,100,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,2.16,0.26,0.66,144.9,Raft_b100_tps150_summary_metrics.csv,Raft_b100_tps150,660.0
Raft_b100_tps150,3,RETRIEVE,Raft,100,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,2.17,0.29,0.79,144.8,Raft_b100_tps150_summary_metrics.csv,Raft_b100_tps150,790.0
Raft_b100_tps150,4,RETRIEVE,Raft,100,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,2.16,0.26,0.66,144.9,Raft_b100_tps150_summary_metrics.csv,Raft_b100_tps150,660.0
